latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29.845,76.377,315.5,1,1,12-10-2019,805,Aqua,MODIS,61,6.0NRT,300.1,6.6,D
29.934,76.913,319.2,1,1,12-10-2019,805,Aqua,MODIS,65,6.0NRT,303.3,8.2,D
29.853,76.381,313.6,1,1,12-10-2019,805,Aqua,MODIS,45,6.0NRT,300,5.1,D
29.844,76.262,314.6,1,1,12-10-2019,805,Aqua,MODIS,55,6.0NRT,300.7,6.7,D
29.842,76.252,312.9,1,1,12-10-2019,805,Aqua,MODIS,47,6.0NRT,299.6,5.5,D
29.952,76.91,318.3,1,1,12-10-2019,805,Aqua,MODIS,69,6.0NRT,303.1,6.8,D
29.776,75.774,318.6,1.1,1,12-10-2019,805,Aqua,MODIS,66,6.0NRT,299,11.7,D
29.972,76.98,314.3,1,1,12-10-2019,805,Aqua,MODIS,60,6.0NRT,302,4.9,D
29.946,76.686,318.5,1,1,12-10-2019,805,Aqua,MODIS,65,6.0NRT,303.9,7.4,D
29.902,76.393,327.5,1,1,12-10-2019,805,Aqua,MODIS,80,6.0NRT,303.4,18.4,D
29.9,76.382,331,1,1,12-10-2019,805,Aqua,MODIS,83,6.0NRT,303.3,22.7,D
29.898,76.371,331.4,1,1,12-10-2019,805,Aqua,MODIS,83,6.0NRT,302.6,23.3,D
29.887,76.297,320.7,1,1,12-10-2019,805,Aqua,MODIS,71,6.0NRT,300.9,10.4,D
