Year,Month,Day,Hour,PM 2.5
2019,11,5,22,110.5
2019,11,5,23,119.4
2019,11,6,1,111.2
2019,11,6,2,113.4
2019,11,6,3,115.4
2019,11,6,4,120
2019,11,6,5,124.8
2019,11,6,6,120.2
2019,11,6,7,127.8
2019,11,6,8,140.9
2019,11,6,9,106.5
2019,11,6,10,89.4
2019,11,6,11,89.4
2019,11,6,12,83.1
2019,11,6,13,56.4
2019,11,6,14,66.2
2019,11,6,15,79.2
2019,11,6,16,99.2
2019,11,6,17,116.9
2019,11,6,18,129.8
2019,11,6,19,129.7
2019,11,6,20,133
2019,11,6,21,131.9
2019,11,6,22,130.2
2019,11,6,23,133.5
2019,11,7,1,142.9
2019,11,7,2,162.2
2019,11,7,3,169.2
2019,11,7,4,193.4
2019,11,7,5,195.6
2019,11,7,6,193.9
2019,11,7,7,201.5
2019,11,7,8,231.9
2019,11,7,9,234.5
2019,11,7,10,218.7
2019,11,7,11,193.3
2019,11,7,12,173.2
2019,11,7,13,174.6
2019,11,7,14,165.9
2019,11,7,15,182
2019,11,7,16,181.7
2019,11,7,17,186.9
2019,11,7,18,193
2019,11,7,19,201.9
2019,11,7,20,202.9
2019,11,7,21,201.9
2019,11,7,22,201
2019,11,7,23,190.9
2019,11,8,1,169.7
2019,11,8,2,154.3
2019,11,8,3,140.6
2019,11,8,4,141.8
2019,11,8,6,147.2
2019,11,8,7,139.4
2019,11,8,8,120.1
2019,11,8,9,119.8
2019,11,8,10,119.6
2019,11,8,11,108.1
2019,11,8,12,98.8
2019,11,8,13,90.2
2019,11,8,14,108.6
2019,11,8,15,109
2019,11,8,16,144.7
